SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
AP8467,5,GEORGE BESS,17900 S 82ND ST,HICKMAN,NE,68372,7,1992-04-10,17900 S 82ND ST,HICKMAN,LANCASTER,GAS,8467,GEORGE BESS
AP8469,5,MINNEGASCO,700 W LINDEN AVE,MINNEAPOLIS,MN,55440,7,1992-08-21,1600 WINDHOEK DRIVE,LINCOLN,LANCASTER,WASTE OIL,8469,MINNEGASCO
AP8473,5,VILLAGE OF LINWOOD,MAIN ST,LINWOOD,NE,68036,7,1992-10-13,MAIN ST,LINWOOD,BUTLER,DIESEL,8473,VILLAGE OF LINWOOD
AP8481,5,UNKNOWN,,,,,7,1992-05-28,WEST HWY 30 3904 W NEW HWY 30,GRAND ISLAND,HALL,GAS & DIESEL,8481,FAIRBANKS EQUIPMENT
AP8487,5,CASH WA DISTRIBUTING,401 W 4TH STREET,KEARNEY,NE,68847,7,1997-04-23,401 W 4TH STREET,KEARNEY,BUFFALO,,8487,CASH WA DISTRIBUTING
AP8494,5,LISCO GRADE SCHOOL,102 SPEARS ST,LISCO,NE,69148,7,1993-06-26,102 SPEARS ST,LISCO,GARDEN,GASOLINE,8494,LISCO GRADE SCHOOL
AP8495,5,AGEE'S AUTOMOTIVE,1323 'M' ST,LINCOLN,NE,68508,7,1999-02-26,1323 'M' ST,LINCOLN,LANCASTER,WASTE OIL,8495,AGEE'S AUTOMOTIVE
AP8501,5,"JOHNSON, LEN",4700 HOLLY ST,DENVER,CO,80216,7,1992-06-30,MIDWEST TURF & IRR -8710 J ST,OMAHA,DOUGLAS,WASTE OIL,8501,MIDWEST TURF & IRRIGATION
AP8502,5,FARM & RANCH FERTILIZER,PO BOX 176,OSHKOSH,NE,69154,7,1998-10-05,WEST 'H' AVE,OSHKOSH,GARDEN,GASOLINE,8502,FARM & RANCH FERTILIZER
AP8508,5,HAMPTON RURAL FIRE DIST,HWY 34 & N 3RD ST,HAMPTON,NE,68843,7,1992-07-31,HWY 34 & N 3RD ST,HAMPTON,HAMILTON,,8508,HAMPTON RURAL FIRE DIST
AP8513,5,EVEN TEMP COM. INC.,BOX 127,WACO,NE,68460,7,1992-09-01,HWY 34,WACO,YORK,GAS & DIESEL,8513,EVEN TEMP CO INC
AP8514,5,SIGNATURE SIGNS,,,,,7,1992-08-01,2008A E HWY 30,GRAND ISLAND,HALL,,8514,SIGNATURE SIGNS
AP8517,5,LYNCH HIGH SCHOOL,701 HOFFMAN ST,LYNCH,NE,68746,7,1998-06-17,701 HOFFMAN ST,LYNCH,HOLT,DIESEL,8517,LYNCH HIGH SCHOOL
AP8535,5,SCHOOL DISTRICT OF SEWARD,410 SOUTH STREET,SEWARD,NE,68434,7,1997-10-28,GOEHNER ELEMENTARY SCHOOL,GOEHNER,SEWARD,DIESEL,8535,GOEHNER ELEMENTARY SCHOOL
