SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
042792-TH-1422,5,RAILCAR SPECIALITIES,13840 L ST.,OMAHA,NE,68137,7,1992-04-13,13840 L STREET,OMAHA,DOUGLAS,"DIESEL, GASOLINE",3892,RAILCAR SPECIALITIES
042793-JB-1100,5,OPPD,444 S 16TH ST MALL,OMAHA,NE,68102,9,1993-04-27,2706 EDWARD BABE GOMEZ,OMAHA,DOUGLAS,MINERAL OIL,,
042793-NH-1540,5,SOUTH BRANCH FERTILIZER,RR 1 BOX 76B,NORFOLK,NE,68701,1,1993-04-27,25TH & BENJAMIN,NORFOLK,MADISON,BULLET,,TRCK ACCDNT ON STREET
042793-NM-1235,5,NEBR DEPT OF ROADS,PO BOX 94579,LINCOLN,NE,68509,7,1993-04-26,1/4 MI S HWY 41 W SIDE S34C,ADAMS,GAGE,DIESEL,713,NDOR - ADAMS
042793-TH-1140,9,RUSKIN SERVICE INC,891 MAIN,RUSKIN,NE,68974,7,1993-07-16,891 MAIN,RUSKIN,NUCKOLLS,GASOLINE,3723,RUSKIN SERVICE INC
042794-GY-0930,5,NPPD,1414 15TH STREET,COLUMBUS,NE,68601,15,1994-04-25,#2 SOUTH HIGHWAY 74,CLAY CENTER,CLAY,,,NPPD
042794-JF-1200,5,FARMERS COOP OF TALMAGE,123 N MAINE,TALMAGE,NE,68448,7,1991-02-28,308 3RD ST,TALMAGE,OTOE,GASOLINE,5368,FARMERS COOP TALMAGE
042794-QK-1300,5,WARD TRANSPORT,,GRAND ISLAND,NE,,7,1994-04-27,900 SOUTH STREET,LINCOLN,LANCASTER,GASOLINE,3643,C-MART #9201
042795-GB-0840,5,AGRICULTURAL SERVICES,P.O. BOX 158,WOOD RIVER,NE,68883,1,1995-04-26,106 WEST RAILROAD STREET,WOOD RIVER,HALL,18-18-2 FERTILIZER SOLUTION,,
042795-GB-1015,5,GIVENS FARMS,"RR 1, BOX 99",EMMET,NE,68734,1,1995-04-26,"1/2 E, 4 N, 1/2 E FROM EMMET",EMMET,HOLT,24-0-0-10S FERTILIZER SOLUTION,,
042795-GB-1525,5,HUSKER COOP,P.O. BOX 1129,COLUMBUS,NE,68601,1,1995-04-27,"3 MI EAST, 2 MI SOUTH HOWELLS",HOWELLS,COLFAX,PURSUIT PLUS + WATER,,
042795-PH-1130,5,ECOVA,"HC 54, BOX 2B",KIMBALL,NE,69145,4,1995-04-27,INCINERATOR,KIMBALL,KIMBALL,"DRY SOLIDS, HAZARDOUS",,
042796-NH-0820,5,FARMERS COOP-WAVERLY,10741 N 142ND,WAVERLY,NE,68462,1,1996-04-27,148TH N OF I-80,WAVERLY,LANCASTER,TREFLAN HFP,,FARMERS COOP-WAVERLY
042797-NH-0945,5,"KORTH, TIM",86752 561 AVE,RANDOLPH,NE,68771,9,1997-04-26,2 MI E HWY 20 & 1 MI NORTH,RANDOLPH,CEDAR,28% NITROGEN,,"KORTH, TIM"
042797-NH-1215,5,"MARKVICKA, MARK",737 ODELL RD,DANNEBROG,NE,68831,1,1997-04-27,"2 MI E,2.5 MI S OF FARWELL",FARWELL,HOWARD,28% LIQUID NITROGEN,,MARK MARKVICKA
042798-JF-0825,5,CHADRON STATE COLLEGE,1000 MAIN ST,CHADRON,NE,69337,14,1998-04-24,HEATING PLANT; SW MAIN COLLEGE,CHADRON,DAWES,DIESEL & GASOLINE,5341,CHADRON STATE COLLEGE
042798-PH-1310,5,OFFUTT A F B,106 PEACEKEEPER DR,OFFUTT A F B,NE,68113,6,1996-04-27,BLDG 550 N WALL,OFFUTT AFB,SARPY,PETROLEUM - POSSIBLY JP-8,NONE,OFFUTT - BLD 550
04280-GWB-1330,5,"ROBINSON, BRENT",RR 1 BOX 186A,ELM CREEK,NE,68836,1,1990-04-28,INT TYLER & POTTER,ELM CREEK,BUFFALO,FERTILIZER SOLUTION,,
042800-JB-1450,5,PCS NITROGEN,202 ALLIED RD,BELLEVUE,NE,68123,9,2000-04-28,MAIN PLANT,BELLEVUE,SARPY,DIESEL FUEL,NONE,PCS NITROGEN
042800-JB-1640,5,"BEEBE SEED FARMS, INC",1291 OLD LINCOLN HWY,NORTH BEND,NE,68649,1,2000-04-28,4 MI E NORTH BEND ON HWY 30,NORTH BEND,DODGE,DUAL HERBICIDE (CONCENTRATED),NONE,"BEEBE SEED FARMS, INC"
042801-KM-1922,5,"BEEF PRODUCTS, INC",891 TWO RIVERS DRIVE,DAKOTA DUNES,SD,57049,9,2001-04-28,360 164TH STREET SOUTH,SOUTH SIOUX CITY,DAKOTA,HYDRAULIC OIL,NONE,"BEEF PRODUCTS, INC"
042801-KM-1957,5,"STEVENS, MICHAEL",437 SOUTH 38TH,LINCOLN,NE,68510,8,2001-04-28,437 SOUTH 38TH,LINCOLN,LANCASTER,BACTERIAL ALGICIDE,NONE,"STEVENS, MICHAEL"
042803-DD-0810,5,NPPD,PO BOX 499,COLUMBUS,NE,68602,8,2003-04-26,1 MI NORTH OF MCCOOK,MC COOK,RED WILLOW,#2 DIESEL,NONE,NPPD - MCCOOK
042803-GB-1625,5,TROTTER FERTILIZER,REYNOLDS & RAILROAD,ARCADIA,NE,68815,1,2003-04-28,1 MI N & 1/2 MI E ON CO RD,BROKEN BOW,CUSTER,28% LIQUID NITROGEN FERTILIZER,,TROTTER FERTILIZER
042804-JB-1140,5,LOZIER CORP,6346 PERSHING DR,OMAHA,NE,68110,9,2004-04-28,6360 PERSHING DR,OMAHA,DOUGLAS,HYDRAULIC FLUID,NONE,LOZIER CORP
042806-SM-1258,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,69101,2,2006-04-27,"BAILEY YARD, DIESEL SHOP",NORTH PLATTE,LINCOLN,LUBE OIL,NONE,"BAILEY YD, DIESEL SHOP"
042809-NH-1145,5,GROENDYKE TRANSPORT,810 N 54TH ST,ENID,OK,73701,1,2009-04-28,I-80 EB MP 61,SIDNEY,CHEYENNE,PENTANE,NONE,TRCK ACCT I-80 WB MP 61
042811-DB-0850,5,CITY OF NORFOLK,701 KOEINGSTEIN AVE,NORFOLK,NE,68701,7,2011-04-26,701 KOEINGSTEIN AVE,NORFOLK,MADISON,DIESEL FUEL,1806,NORFOLK MAIN FIRE STATION
042811-DB-2050,,,,,,,,,,,,,,
042811-NH-0930,5,UPRR,4601 W FRONT ST,NORTH PLATTE,NE,69101,2,2011-04-28,S MORRILL DIESEL SHOP,MORRILL,SCOTTS BLUFF,DIESEL FUEL,NONE,UPRR S MORRILL YARD
042811-SM-1540,5,HTERMO BOND,109 E PLEASANT ST,ELK POINT,SD,57025,1,2011-04-28,"CR O, I-80 OVERPASS",AURORA,HAMILTON,DIESEL FUEL,NONE,"TRCK ACCDNT: CR 0, I-80"
04287-DBH-1000,5,LINCOLN ELECTRIC SYSTEM,"1200 N ST, SUITE 300",LINCOLN,NE,68501,7,1987-04-28,"7 & K, NW CORNER",LINCOLN,LANCASTER,"#6, #2 OIL & TRANSFORMER OIL",2586,LINCOLN ELECTRIC SYSTEM
04288-WCS-0945,5,FREEDOM FARMS INC,816 HIGHLAND,OGALLALA,NE,69143,9,1988-04-28,"2 E, 1 S, 1/2 E & 1/2 S MADRID",MADRID,PERKINS,PCB,NONE,TRANSFRMER LEAK
042888-TH-0715,5,RAPID PRINTING/A-1,4030 S 108TH ST,OMAHA,NE,68137,7,1988-04-28,9320 J ST,OMAHA,DOUGLAS,SOLVENT,1928,RAPID PRINTING/A-1
04289-BTB-1510,5,TERRA,,SIOUX CITY,IA,,1,1989-04-28,WAYNE HWY 35,WAYNE,WAYNE,EXTRAZINE II 28% MIXTURE,,
042891-DT-1200,5,GOVIG GRADING,3151 N 47TH AVE,PAPILLION,NE,68104,1,1991-04-28,,PAPILLION,SARPY,WASTE OIL,,
042892-DB-1425,5,AMPEL CORP,PO BOX 3628,DES MOINES,IA,50322,6,1992-04-05,HWY 13K,WEEPING WATER,CASS,LIGNOSULFONATE,,
042892-GB-1510,5,SOUTH CENTRAL COOP,BOX 67,BERTRAND,NE,68927,1,1992-04-28,1/2 MI S OF BERTRAND E SIDE,BERTRAND,PHELPS,32% NITROGEN & BICEP,,SOUTH CENTRAL COOP
042893-GB-0920,5,AGRICULTURAL SERVICES INC,P.O. BOX 48,EMMET,NE,68734,6,1993-04-27,SOUTH MAIN STREET,EMMET,HOLT,10-40-0 LIQUID FERTILIZER,,AGRICULTURAL SERVICES INC
042893-NH-0545,5,BNRR,500 WEST KANSAS ST,ALLIANCE,NE,69301,2,1993-04-28,.4 M E FROM BERWY MM 1672,BERWYN,CUSTER,ALCOHOL DIESEL,,BNRR
042893-NW-0040,5,UPRR,BOX 909,NORTH PLATTE,NE,69103,2,1993-04-28,NORTH OF DIESEL SHOP,NORTH PLATTE,LINCOLN,ROOFING ASPHALT,,
042893-SM-1300,5,MONROE AUTO,121 MERIDIAN,COZAD,NE,69130,9,1993-04-28,INSIDE BUILDING,COZAD,DAWSON,POTASSIUM HYDROXIDE,,MONROE AUTO
042894-SM-2045,5,BURLINGTON NORTHERN RR,201 NO. 7TH,LINCOLN,NE,68508,2,1994-04-28,156TH & HARRISON (1/4 M SOUTH),CHALCO,SARPY,DIESEL FUEL,,BURLINGTON NORTHERN RR
042897-GB-1055,5,AF AGRONOMY,"RR 1, BOX 181A",ADAMS,NE,68301,1,1997-04-28,"1 MI S,2 MI W OF ADAMS",ADAMS,GAGE,BULLET,,AF AGRONOMY
042897-NH-2100,5,IBP,PO BOX 515,DAKOTA CITY,NE,,1,1997-04-28,HWY 275,VALLEY,DOUGLAS,DIESEL FUEL,,IBP
042898-JB-0817,5,EXPRESS MART,503 EAST OVERLAND,SCOTTSBLUFF,NE,69361,7,1998-04-28,NE CRN 5TH AVE & E OVERLAND,SCOTTSBLUFF,SCOTTS BLUFF,GASOLINE & DIESEL,8998,EXPRESS MART
042898-KM-1636,5,HEARTLAND COOP,,,,,1,1998-04-28,2 MILE SOUTH 1 1/4 W OF N.SIDE,GILTNER,HAMILTON,10-34-0,,
042898-NH-1545,5,COOP NONSTOCK TRANSPORT,PO BOX 80,GOTHENBURG,NE,69138,9,1998-03-30,BIG FLAG FARM SUPPLY GIBBON RD,GIBBON,BUFFALO,DIESEL,7005,BIG FLAG FARM SUPPLY
042899-GW-1030,5,CORNER STATION LLC,PO BOX 10,BRUNING,NE,68322,7,1999-04-27,200 E MAIN ST,BRUNING,THAYER,GASOLINE,6393,CORNER STATION
042901-KM-1247,5,BNSF,111 W. 1ST STREET,ALLIANCE,NE,69301,9,2001-04-29,"FUEL PAD, ALLIANCE YARD",ALLIANCE,BOX BUTTE,#2 DIESEL,NONE,BNSF
042902-GW-1125,5,HOLIDAY COMPANY,4567 W 80TH,BLOOMINGTON,MN,55437,7,2002-04-29,1420 S LOCUST,GRAND ISLAND,HALL,GASOLINE,5662,HOLIDAY STATION #210
042902-ML-2235,5,WYNNE TRANSPORT,PO BOX 8700,OMAHA,NE,68108,1,2002-04-29,"HWY 41, 5 MILES E OF GENEVA",GENEVA,FILLMORE,GASOLINE,NONE,WYNNE TRANSPORT
042903-GB-1640,5,FARM & GARDEN COOP,333 MAIN ST,PIERCE,NE,68767,1,2003-04-29,W OF ROADS 848 & 547 INTERSECT,PIERCE,PIERCE,FERTILIZER (28% N)+ MIXED HERB,NONE,PIERCE COUNTY ROAD
042903-GW-1605,5,YANKTON AG SERVICES,,,,,1,2003-04-29,"HWY 81, SO DAK SIDE OF BRIDGE",YANKTON SD,YANKTON,28-0-0 LIQUID FERTILIZER,NONE,MISSOURI RIVER & HWY 81
042903-KM-0730,2,UNKNOWN - 4TH & LINCOLN,,,,,15,2003-04-28,4TH & LINCOLN STS,YORK,YORK,UNKNOWN - VOC,NONE,4TH & LINCOLN STS SITE
042904-SM-0957,5,BATTLE CREEK FARMERS CO-O,PO BOX 10,BATTLE CREEK,NE,68715,1,,"RR 2, BOX 122; 54909 854 RD__",PIERCE,PIERCE,32 UAN FERTILIZER,NONE,BATTLE CREEK CO-OP
042904-TH-0800,5,,,,,,7,2004-03-09,104 S WASHINGTON AVE (HWY 97),MULLEN,,,,FRMR SCHMOKER MOTORS
042910-JB-1151,R,BATTLE CREEK COOP,PO BOX 10,BATTLE CREEK,NE,68715,1,2010-04-29,HWY 45 OVER SHELL CREEK,NEWMAN GROVE,MADISON,ENLITE & AIM HERBICIDES,NONE,HWY 45 OVER SHELL CREEK
042910-QK-1300,5,OPPD,444 S 16TH ST MALL,OMAHA,NE,68102,9,2010-04-28,101 EAST LA PLATTE RD,BELLEVUE,SARPY,TRANSFORMER OIL (NON-PCB),NONE,OLD PCS NITROGEN FACILITY
042911-NH-0930,5,BLUEKNIGHT ENERGY PTNRS,6120 S YALE AVE,TULSA,OK,74136,6,2011-04-29,4112 ACADEMY RD,GRAND ISLAND,HALL,HOT ASPHALT OIL,NONE,BLUEKNIGHT ENERGY PTNRS
042912-SM-1509,T,NEDAK ETHANOL HC,85217 HILLCREST RD,ATKINSON,NE,68713,2,2012-04-29,49131 HWY 20,O'NEILL,HOLT,DENATURED ALCOHOL,NONE,NEDAK ETHANOL LLC
042913-JF-1315,5,NORMANDIN TRANSIT,PO BOX 9018,NAPIERVILLE QUEBEC,,,1,2013-04-29,"I-80, NEAR MM 448",RALSTON,DOUGLAS,DIESEL FUEL,NONE,"TRCK REL: I-80, MM 448"
042914-JB-0930,5,OPPD,444 S 16TH MALL,OMAHA,NE,68102,15,2014-04-29,HWY 75 AND MARTIN/2945 MARTIN,OMAHA,DOUGLAS,MINERAL OIL (NON-PCB),NONE,"OPPD, HWY 75 & MARTIN"
04295-TRM-1000,5,TRANSCON,5900 N 16,OMAHA/DOUGLAS,NE,68112,10,1985-04-27,5900 N 16 - TRWNSCON TERMINAL,OMAHA,DOUGLAS,DIESEL OIL,5,TRANSCON
04296-DWZ-0905,5,FARMER,RT 2 - BOX 16C,AUBURN/NEMAHA,NE,68305,11,1986-04-29,2.75 MI NO ON HWY 75,AUBURN,NEMAHA,PEST/FERT/PETRO PRODUCTS,,
04297-BHI-0830,5,CARGILL,HC 69 BOX 169A,HARTWELL/KEARNEY,NE,68945,6,1987-04-28,,HEARTWELL,KEARNEY,28% NITROGEN AND SULFAR,,
04297-MA-1555,5,ENRON CORP.(WHOLESALE GAS,2223 DODGE,,NE,68102,9,1987-04-29,,OMAHA,DOUGLAS,"CHLOROMETHAL,MAG.CHLORIDE",,
04297-MBS-0100,5,JT TRANSPORT COMPANY,P.O. BOX 1046,NORTH PLATTE,NE,69103,1,1987-04-28,E 4TH & TABOR & N TO E 6TH,NORTH PLATTE,LINCOLN,UNLEADED GASOLINE,NONE,TRK ACCDT: NORTH PLATTE
04297-MC-1715,5,GREASE + GO,3380 N TEN. ST,SCOTTSBLUFF,NE,69361,8,,3380 N TEN. ST/ GREASE + GO,SCOTTSBLUFF,SCOTTS BLUFF,WASTE OIL/TRANSMISSION FL,,
04298-BHI-1100,9,UNK ROBERTS WELL,,,,,7,,,CRAWFORD,DAWES,,NONE,ROBERTS WELL
04298-DBH-1600,5,NEMAHA CO HOSPITAL,2022 13TH ST,AUBURN,NE,68305,7,1988-04-29,2022 13TH ST,AUBURN,NEMAHA,GASOLINE,1509,NEMAHA COUNTY HOSPITAL
04298-NEW-0400,5,CONSOLIDATED FREIGHTWAYS,1400 CUTLER RD,CHEYENNE,WY,82003,1,1988-04-29,1 MI W OF SUTHERLAND INTERCHNG,SUTHERLAND,LINCOLN,LIQUID CAUSTICS,NONE,SUTHERLAND EXCHG ACCDNT
042988-TH-1630,5,MUTUAL OF OMAHA,33RD & DODGE ST PLZ,OMAHA,NE,68175,14,1988-04-29,1010 REGENCY PKWY,OMAHA,DOUGLAS,FUEL OIL,,MUTUAL OF OMAHA
042988-TH-1700,5,MUTUAL OF OMAHA,33RD & DODGE ST PLZ,OMAHA,NE,68175,14,1988-04-29,10412 PACIFIC,OMAHA,DOUGLAS,FUEL OIL,,MUTUAL OF OMAHA
04299-BHI-1200,5,VALMONT INDUST,,VALLEY,NE,68064,8,1989-04-29,PLANT PROPERTY,VALLEY,DOUGLAS,WASTE MOTOR OR HYDRAULIC OIL,,
04299-BTB-0700,5,CENTIENTAL GRAIN,EAST HWY 30,SHELTON,NE,68876,6,1989-04-29,EAST HWY 30,SHELTON,HALL,6217 STARTER FERT SOME 28%,,
042991-DT-1400,5,COMMERCIAL TERMINAL SERV,723 SOUTH 12TH,OMAHA,NE,68102,1,1991-04-29,MILE MARKER 438 I-80,GRETNA,SARPY,DIESEL,,COMMERCIAL TERMINAL SERV
042991-DT-1500,5,FARMER,RR 1 BOX 106,HEBRON,NE,68370,6,1991-04-17,1 S 4 W OF FAIRBURY,FAIRBURY,JEFFERSON,ANHYDROUS AMMONIA,,
042991-JB-1515,5,GRAND ISLAND UTILITIES,PO BOX 1968,GRAND ISLAND,NE,68802,6,1991-04-26,BURDICK PLANT,GRAND ISLAND,HALL,SULFURIC ACID 93%,,GRAND ISLAND UTILITIES
042991-NH-1430,5,GOODYEAR TIRE & RUBBER CO,4021 N 56TH ST,LINCOLN,NE,68504,9,1991-04-29,BANBURY COMPACTOR NE CORNER,LINCOLN,LANCASTER,HYDRAULIC OIL,,GOODYEAR TIRE & RUBBER CO
042992-CT-1130,5,CITY OF ALLIANCE,PO BOX 'D',ALLIANCE,NE,69301,7,1992-03-13,ALLIANCE CEMETARY,ALLIANCE,BOX BUTTE,GASOLINE,2442,ALLIANCE CEMETERY
042992-DB-0845,5,"SAFRANEK, ROGER",RR 1 BOX 64,MERNA,NE,68856,1,1992-04-28,3 MI W 25 OF MERNA,MERNA,CUSTER,FERTILIZER 10-16-12,,
042992-GB-1115,5,BRADY CROP SERVICE,BOX 3,BRADY,NE,69123,1,,3 M S 1 1/2 W OF MAXWELL,MAXWELL,LINCOLN,28% SOLUTION,,
042992-MF-1115,5,NEBR DEPT OF ROADS,5001 SOUTH 14TH ST.,LINCOLN,NE,68509,7,1992-04-29,SOUTH HIGHWAY 71,KIMBALL,KIMBALL,GASOLINE,788,NDOR
042993-GB-0800,5,"CLARK, RON",BOX 157,MC COOL JUNCTION,NE,68401,1,1993-04-24,2 MI S 1 MI E,MC COOL JUNCTION,YORK,LARIAT HERBICIDE,,
042993-JF-1015,5,UPS,2535 GOMEZ AVE,OMAHA,NE,68107,7,1993-04-28,2535 GOMEZ AVE,OMAHA,DOUGLAS,"GASOLINE, OIL, DIESEL",3011,UPS - 2535 GOMEZ - OMAHA
042993-NM-0740,5,NEBR DEPT OF ROADS,PO BOX 94759,LINCOLN,NE,68509,7,1993-04-28,.4 MI E HWY 103 & 41 N SIDE,WILBER,SALINE,GASOLINE & DIESEL,720,NDOR - WILBER
042993-SM-1300,5,"WILLIAMS, RALPH",,DANNEBROG,NE,68831,1,1993-04-29,2 MI SOUTH OF FARWELL,FARWELL,HOWARD,8-20-5 LIQUID FERT W/ S & ZN,,ACCIDENT ON COUNTY ROAD
042993-99-0000,5,DORA BARTAK - DECEASED,DECEASED,NORFOLK,NE,68701,14,1992-02-21,603 N 13TH ST,NORFOLK,MADISON,HEATING OIL #2,10909,DORA BARTAK
042994-NH-1830,6,UNK,,,,,8,1994-04-29,HWY 71 & BELTLINE,SCOTTSBLUFF,SCOTTS BLUFF,DIESEL/KEROSENE,,
042994-SM-0915,5,SUPERIOR WW TREATMENT,,SUPERIOR,NE,,8,1994-04-29,WASTEWATER PLANT,SUPERIOR,NUCKOLLS,RAW SEWAGE,,SUPERIOR WASTEWATER PLANT
042996-GW-1200,5,SINCLAIR OIL,6602 PORTLAND AVE,RICHFIELD,MN,55423,7,1996-04-16,3308 N 108TH ST,OMAHA,DOUGLAS,GASOLINE,2978,SINCLAIR STATION
042996-GW-1330,5,NEBR DEPT OF ROADS,PO BOX 94795,LINCOLN,NE,68509,7,1996-03-05,5300 SALT VALLE VIEW,LINCOLN,LANCASTER,GASOLINE & DIESEL,711,NDOR BLDG 00106
042998-GW-1552,6,BJ'S MINI MART INC,PO BOX 128,DECATUR,NE,68020,7,1998-04-15,702 BROADWAY,DECATUR,BURT,GASOLINE & DIESEL,6368,BJ'S MINI MART
042998-GW-1553,V,LOVELAND DEVELOPMENT CO,2507 SOUTH 90TH,OMAHA,NE,68124,7,1998-03-24,8998 W CENTER ST,OMAHA,DOUGLAS,GASOLINE,836,SAUERS PHILLIPS 66
042998-JF-0833,5,"LEFEVER, KEN",1212 M STREET,GENEVA,NE,68361,1,1998-04-26,"HWY 41,2000' EAST OF HWY 81",GENEVA,FILLMORE,10-34-0 FERTILIZER SPILL,,
042998-SM-1745,5,FARMLAND INDUSTRIES,P.O. BOX 949,HASTINGS,NE,68901,9,1998-04-29,"3 MILES EAST, HWY 6, NORTH SID",HASTINGS,ADAMS,ANYDROUS AMMONIA,,
042999-KM-0915,5,TWENTY FIRST CENTURY SAND,HC 69 BOX 6,ATKINSON,NE,68713,6,1999-04-29,8 MILE WEST OF AINSWORTH,AINSWORTH,BROWN,#2 DIESEL (RED),NONE,21ST CENTURY: AINSWORTH
04300-KSA-1953,5,WALKER FARMS INC,RR 1,SCOTTSBLUFF,NE,69361,1,1990-04-30,3 MI N & .5 MI W SCOTTSBLUFF,SCOTTSBLUFF,SCOTTS BLUFF,UREA AMMONUIM NITRATE FERT,,
04300-MAL-1000,2,"UNK, 5600 BALLARD AVE",,,,,7,1990-01-22,5600 BALLARD AVE,LINCOLN,LANCASTER,GASOLINE,8229,ALL ROADS BARRICADES TANK
04300-MAL-1100,2,THE CAMP RESTAURANT,HIGHWAY 4,HUMBOLDT,NE,68376,7,1990-04-13,HIGHWAY 4,HUMBOLDT,RICHARDSON,GASOLINE,8261,THE CAMP RESTAURANT
04300-MAL-1300,2,GINN OIL CO,145 N ELMWOOD RD,OMAHA,NE,68132,7,1990-04-05,5629 N 72 ST,OMAHA,DOUGLAS,GASOLINE,10684,GINN OIL TANK SITE
043000-JB-1834,5,GLIDDEN PAINTS/DULUX PAIN,1265 S COTNER BLVD,LINCOLN,NE,68510,9,2000-04-30,1265 S COTNER BLVD,LINCOLN,LANCASTER,"PAINTS, POSSIBLE THINNERS",NONE,ICI LULUX PAINT CNTRS
043001-GW-1010,5,"HEUBENER, MITCH",2242 S CRANEVIEW RD,NORTH PLATTE,NE,69101,6,2001-04-27,"6.6 MI E, 4 MI S",HERSHEY,LINCOLN,32% NITROGEN SOLUTION,NONE,SUSAN DIKE PROPERTY
043001-GW-1115,5,CROP PRODUCTION SERVICES,PO BOX 248,THURSTON,NE,68062,1,2001-04-30,HWY 75/51 INTERSECTION SW CRNR,DECATUR,BURT,28% AQUEOUS NITROGEN,NONE,CROP PRODUCTION SERVICES
043001-JB-1430,5,ALL POINTS COOPERATIVE,PO BOX A,LEXINGTON,NE,68850,6,2001-04-29,CO RD 439 & HWY 30,LEXINGTON,DAWSON,32-0-0 LIQUID FERTILIZER,NONE,ALL POINTS COOPERATIVE
043001-NH-1430,5,"CARGILL, INC",BOX 341,MINDEN,NE,68959,1,2001-04-30,9 MILES S AND 4 MILES W,CAMBRIDGE,RED WILLOW,FERTILIZER AND HERBICIDES,NONE,"CARGILL, INC"
043001-QK-1120,5,FIRTH COOP,101 MAIN ST,FIRTH,NE,68358,1,2001-04-30,"1 BLK S OF MAIN, W SIDE HWY 77",CORTLAND,GAGE,FIELDMASTER HERBICIDE,NONE,FIRTH COOP
043002-GW-1615,5,BAR-NONE TRUCKING,PO BOX 518,GRAINGER,IA,50109,1,2002-04-30,"HWY 75, N OF PLATTE RIVER",BELLEVUE,SARPY,#2 DIESEL,NONE,TRK ACCDNT ON HWY 75
043004-SM-1803,5,,,NORFOLK,NE,68701,1,,HWY 45 & 839 RD,TILDEN,ANTELOPE,LUMAX MIXED W/FERTILIZER,NONE,HWY 45 & 839 RD FERT REL
043007-NH-1017,5,,4490 ROAD Y,EDGAR,NE,68935,1,2007-04-30,1/4 MI N OF INT OF ROAD 4500 &,DAVENPORT,NUCKOLLS,10-34-0 UAN LIQUID FERTILIZER,,
043008-JB-1035,5,UPRR,4601 W FRONT STREET,NORTH PLATTE,NE,69101,9,2008-04-30,BAILEY YARD DIESEL SHOP,NORTH PLATTE,LINCOLN,BATTERY ACID,,UPRR
043008-KM-0900,5,"WINKLEBAUER, MARK",203 E EISENHOWER AVE,NORFOLK,NE,68701,1,,"PUMP HOUSE, 1000 E EISENHOWER",NORFOLK,MADISON,HYDRAULIC OIL,NONE,FLEX MAG INDUSTRIES
043008-NH-1745,5,SCHMIDT BROTHERS FARMS,82940 549TH AVE,MADISON,NE,68748,1,2008-04-30,4 MI S OF BATTLE CREEK ON 121,BATTLE CREEK,MADISON,32-0-0 FERTILIZER,NONE,TRACTOR ACCDNT: 4 MI S
043008-NH-1900,5,AHRENS GRAIN LLC,301 N RR AVE,MURRAY,NE,68409,6,2008-04-30,301 N RR AVE,MURRAY,CASS,ANHYDROUS AMMONIA,,AHRENS GRAIN LLC
043008-PH-0945,5,CARGILL,101 N CALVERT AVE,ELWOOD,NE,68937,15,2008-04-30,HWY 89 & HWY 283,BEAVER CITY,FURNAS,"2,4-D, ROUNDUP, FERTILIZER",NONE,HWY 89 & HWY 283
043009-NH-1100,5,AGRONOMY SUPPLY CO,202 WASHINGTON AVE,NORFOLK,NE,68701,1,2009-04-30,OMAHA AVE BETWEEN 7TH & 8TH,NORFOLK,MADISON,TRIPLE NICKEL LIQUID FERT,NONE,AGRO SUPPLY OMAHA AVE/7TH
043012-DC-1045,5,CHS AGRISERVICE CENTER,310 LOGAN,HOLDREGE,NE,68949,13,2012-04-25,610 W FRONT ST,ELM CREEK,BUFFALO,GASOLINE,11993,CHS AGRI SERVICE CENTER
043012-JB-1450,5,BNSF,210 N 7TH ST,LINCOLN,NE,68508,1,2012-04-30,111 W 1ST ST,ALLIANCE,BOX BUTTE,LUBE OIL,,BNSF ALLIANCE DIESEL SHOP
043012-NH-1455,5,,,,,,6,2012-04-28,FARMLAND N OF SNYDER LAND,MC COOK,RED WILLOW,DIESEL FUEL,NONE,CLAUDE CAPPEL FARMLAND
043013-NH-1030,5,SELECT VAN & STORAGE,8006 J ST,OMAHA,NE,68127,1,2013-04-30,I-80 WB MM 314,GRAND ISLAND,HALL,DIESEL FUEL,NONE,TRK ACDT: WBI-890 MM 314
043014-BG-1600,2,UNK-ADAMS TRANSMISSION,,,,,7,2014-04-30,108 MAIN ST,CHADRON,DAWES,GASOLINE,,COLLEEN HARVEY TANK SITE
043014-DB-0929,5,BNSF,80 44TH AVE NE,MINNEAPOLIS,MN,55421,,2014-04-19,HOBSON: BTWN TRACKS 4 & 5,LINCOLN,LANCASTER,DIESEL FUEL,NONE,HOBSON: BTWN TRACKS 4 & 5
04306-MBS-0915,5,FARMERS COOP,412 WEST 29 ST,SO SIOUX CITY/DAKOTA,NE,68776,6,1986-04-30,412 WEST 29 ST,SOUTH SIOUX CITY,DAKOTA,28% LIQUID NITROGEN,,
04307-MBS-2315,5,"FERTILIZER SERVICE, INC.",P.O. BOX 395,SIDNEY/CHEYENNE,NE,69162,1,1987-04-30,"3 M EAST, 1/2 SOUTH OF SUNOL",SUNOL,CHEYENNE,"LIQUID NITROGEN, AATRAX",,
043090-99-0000,5,BC INVESTMENTS INC,202 WEST MAIN ST,BATTLE CREEK,NE,68715,7,1990-04-16,700 WEST NORFOLK AVENUE,NORFOLK,MADISON,GASOLINE,8307,BC INVESTMENTS INC
043090-99-0001,5,KROS PIT STOP,HWY 30,WOOD RIVER,NE,68883,13,1990-03-09,HWY 30,WOOD RIVER,HALL,GASOLINE,6621,KROS PIT STOP
